row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id,mean_rpkm,mean_DFC_rpkm,mean_VFC_rpkm,mean_HIP_rpkm,mean_MFC_rpkm,mean_V1C_rpkm,mean_A1C_rpkm,mean_AMY_rpkm,mean_STC_rpkm,mean_IPC_rpkm,mean_OFC_rpkm,mean_STR_rpkm,mean_ITC_rpkm,mean_S1C_rpkm,mean_M1C_rpkm,mean_CBC_rpkm,mean_MD_rpkm,mean_M1C-S1C_rpkm,mean_DTH_rpkm,mean_CB_rpkm,mean_PCx_rpkm,mean_LGE_rpkm,mean_CGE_rpkm,mean_URL_rpkm,mean_MGE_rpkm,mean_Ocx_rpkm,mean_TCx_rpkm
5756,6220,ENSG00000125744,RTN2,6253,32.47716802953586,33.769401882352945,38.7081828125,25.114206599999996,34.018188466666665,38.18569146666666,32.09193342857143,22.843072499999998,39.07171664285715,37.29512535714286,31.395641642857147,32.71835828571428,32.349007615384615,34.0785173,32.278924399999994,24.6580255,45.795449874999996,37.3145856,34.3727574,31.663818333333335,14.871715,14.851166500000001,11.388383999999999,30.14938,12.771354500000001,12.0086275,14.836154
5759,8138,ENSG00000125755,SYMPK,8189,17.935889839662448,17.45135452941176,17.7806808125,17.276603266666665,18.114791399999998,21.753617799999997,17.518351071428572,17.436156785714285,19.570512785714293,18.393866857142857,16.447576642857143,16.67763257142857,17.28780923076923,18.198775699999995,17.7548067,14.56406875,13.322621250000001,21.051980999999998,15.1688134,22.68619,20.847036,20.2988465,21.184213999999997,23.967672999999998,18.317815500000002,21.188813500000002,19.707228
5771,40551,ENSG00000125814,NAPB,63908,21.292754405063288,17.71080041176471,18.566427124999997,16.452892266666666,18.885679266666667,15.6326508,20.429033857142855,20.313076499999998,18.15793921428571,20.498111857142856,19.17582557142857,32.48951814285714,23.05349153846154,20.580873600000004,19.403060200000002,21.47986675,52.619966250000004,14.0350008,46.4792962,23.804024666666663,12.9104675,11.912897000000001,7.2543625,26.806476,13.354773000000002,9.590319000000001,18.803405
5774,1052,ENSG00000125817,CENPB,1059,39.15554445147679,39.58401452941177,40.461774625000004,43.37966200000001,36.8441314,44.016159266666676,38.19674071428572,42.129289928571424,41.931717428571424,36.91344921428571,35.44584721428571,46.34298085714287,39.210129538461544,34.8895634,33.12529429999999,34.3087905,33.29665375,43.9450226,36.5468556,31.471422333333333,36.0238465,36.5713375,45.860451499999996,41.2083395,38.017882,40.0415305,19.463501
5775,9351,ENSG00000125818,PSMF1,9491,24.01345659915612,23.65370823529412,23.775889125,24.763646866666665,23.5445128,22.845638999999995,23.44566857142857,26.333506857142858,24.402229928571433,23.648202,23.959475642857143,23.28822514285714,25.06613746153846,24.025921099999998,23.5365574,25.619170625,24.21396575,22.140576,22.386280400000004,22.640922,23.470798000000002,22.655244500000002,28.860075000000002,23.884721,24.3375925,24.826483500000002,23.496114
5777,60205,ENSG00000125821,DTD1,92675,31.220839358649787,31.902219882352938,31.4419548125,33.151597466666665,32.39100093333332,25.641299133333334,30.612323357142852,32.25917499999999,32.45847414285715,30.54071385714286,32.814272357142855,28.59609385714285,31.57445046153846,28.280677500000003,26.396344799999998,26.767350999999998,32.085096625000006,34.7681644,46.9726628,37.594643999999995,30.763225,30.873542999999998,32.115579499999996,38.914629,32.685032,30.156203500000004,23.674562
5780,35535,ENSG00000125827,TMX4,56255,15.940797147679325,13.429210647058824,13.528287125,15.631451733333332,14.964359933333332,11.4174448,14.908645000000002,19.181376999999994,14.313186071428573,13.510373499999998,14.532324285714285,19.511870714285717,18.989855692307692,13.495372799999998,13.226909299999999,17.00266075,27.765451875,11.224604600000001,37.9107432,20.603748666666664,10.233602999999999,10.881443,12.727162,24.303440000000002,14.9396885,11.076725,11.564076
5783,6588,ENSG00000125835,SNRPB,6628,37.39238817721519,39.45320523529411,33.1909813125,44.59830799999999,42.52265993333332,34.059038533333336,26.847538499999995,48.41252214285714,34.84590571428571,26.81140757142857,38.125559,33.95855907142857,31.635499615384617,27.955738200000003,25.9195589,33.414308375,23.973706125,50.9895058,39.7948812,34.436265,73.2313585,68.157703,99.38305650000001,32.472421,77.205258,104.77151800000001,39.722881
5784,55825,ENSG00000125841,NRSN2,80023,43.14546559493671,40.85162905882353,47.7816483125,42.21514406666666,39.999730066666665,45.29494046666667,42.90146885714286,36.2715635,45.99220585714286,44.73546364285715,38.63860657142857,60.403735999999995,43.955158538461546,46.6910266,42.8422309,44.694447624999995,62.63173375,35.687886199999994,39.436236,34.59831533333334,18.5298765,21.8821095,19.970398000000003,33.1846775,20.7898585,18.257226,18.638502
5793,8144,ENSG00000125863,MKKS,8195,17.35955164556962,17.107515588235295,17.358722812499998,19.755726400000004,16.90466066666667,15.160276666666666,16.199770785714286,18.532422642857142,16.602343142857144,16.199007142857145,17.81109442857143,18.144749428571433,17.64585307692308,17.268611800000002,16.894090499999997,21.359502374999998,19.625711875,15.151510000000002,18.7470552,20.033773,13.7492625,14.4208115,15.998051499999999,14.889175999999999,15.5529645,14.414082500000001,12.937359
5795,10876,ENSG00000125868,DSTN,11034,116.30338934599155,117.62368776470589,117.9554691875,113.47235459999999,123.34505186666667,102.33843766666669,129.0610447142857,89.33346385714285,121.65592135714287,126.73378950000001,131.56770557142858,107.12146271428573,125.2027913076923,115.6482703,115.07484789999998,118.25362425,151.40622150000002,126.2955904,126.01405500000001,99.029465,96.468298,75.6559855,62.1924485,80.10487,74.888466,98.334834,86.975325
5797,6589,ENSG00000125870,SNRPB2,6629,24.7197505907173,26.636213176470587,24.7061498125,26.268895399999998,25.949367800000005,22.558834333333333,26.08824328571428,25.13432578571428,25.26327107142857,26.120580071428574,28.005717,24.74689685714285,23.249023,23.4515208,22.615264599999996,20.060022,16.331957375,29.1058312,25.7556736,18.690599666666667,28.2197795,24.054263499999998,27.167178999999997,17.692171,27.138836,30.4734105,19.872339
5801,3679,ENSG00000125877,ITPA,3704,20.305245253164554,20.357746705882352,21.345994937500002,19.657581733333334,21.316592866666664,21.401950666666668,19.284035,18.7493715,23.210265714285715,21.68026957142857,19.114393428571425,24.66078992857143,19.053235153846156,19.869153900000004,18.6118171,19.538203375,26.470540875,23.2605124,19.277114,17.529630666666666,10.706202,11.343142,11.475681,14.039556999999999,11.816706,11.307044000000001,8.070472
5807,57784,ENSG00000125898,FAM110A,83541,10.597512299578058,10.744616470588237,11.1466235,8.030786400000002,10.1844978,10.451705133333332,9.867497357142856,12.590197428571429,12.331544571428571,10.918031714285714,9.547795571428571,11.416101285714287,11.040163076923077,10.0136263,9.350125299999998,5.253274125,10.781364,11.7780138,13.217795599999999,11.389975333333332,10.1709715,12.3183195,17.2814595,14.1245655,13.328063,10.597225000000002,6.977846
5810,41473,ENSG00000125901,MRPS26,64949,40.84642268776371,42.52342929411765,43.8840301875,40.85549193333333,42.397463866666655,41.4103516,38.890013571428575,38.99589521428572,44.63667014285714,38.60731714285715,39.628727500000004,41.56797949999999,40.06668823076923,37.2533238,36.3660183,42.207380875,43.97361425,45.879161999999994,38.0895812,46.20208,35.2395015,35.234702999999996,38.992677,43.0351425,35.7911755,44.398701,22.695256
5815,10090,ENSG00000125944,HNRNPR,10236,26.97255946413502,27.137800294117646,25.5661595,27.74229653333333,27.34816006666666,23.896954733333327,26.038245642857145,30.871142642857144,25.924745214285714,26.11157264285714,28.508525071428572,25.63889742857143,26.90805823076923,26.2068989,26.4343912,21.899345375,13.819539375,31.164715,29.105644600000005,24.506152333333333,41.5877665,40.3779765,46.0035825,26.850367,43.024026,41.9883915,37.477254
5816,56589,ENSG00000125945,ZNF436,80818,18.787380696202533,19.28993647058823,19.603101000000002,16.22905353333333,18.880858933333332,15.486898333333334,19.854772214285713,16.902871,17.542067714285714,19.862951214285715,21.071255714285716,19.05973714285714,20.562885076923074,20.570375,20.4716812,19.648191875,17.463299375,15.999971200000001,22.8712954,26.35193733333333,16.394848500000002,13.81348,11.578242,20.518524999999997,14.907287,15.9655125,17.569424
5817,4124,ENSG00000125952,MAX,4149,12.42351966244726,12.436211764705881,13.1698873125,11.517725733333332,11.746985733333334,12.7672702,12.52884992857143,11.768272999999999,12.960117428571426,12.499108785714286,12.329008285714286,14.118371714285713,12.537165846153847,13.264163700000001,12.518273099999998,15.017346,13.038048125,10.882993200000001,11.9644486,13.842472666666666,8.3424565,8.221335,7.4717305,11.682513,7.973244,9.297309,7.91595
5818,157124397,ENSG00000125954,CHURC1-FNTB,100529261,10.589276337552743,9.849590941176471,9.288346375,12.689463466666668,10.431900466666667,10.0338284,9.306222,12.404660071428571,9.771596571428573,8.994861142857143,10.255800642857142,11.261346428571429,10.422017923076924,9.208705799999999,8.760643,13.554635375,10.17916525,10.2466718,10.315787400000001,11.343307000000001,13.844037,14.5079675,17.5193035,10.1444785,14.8460485,16.6095345,11.516121
5821,10735,ENSG00000125966,MMP24,10893,42.05665734177215,43.30874282352941,52.268111937499995,31.916080066666666,42.452327399999994,35.668455933333334,45.45775128571428,29.03409971428571,44.1304807142857,47.65928014285714,43.585238571428576,44.94799507142857,44.82809007692309,48.0693197,45.77371479999999,44.95083675,58.429197875,35.268976599999995,56.35034939999999,56.17451533333334,10.053355,13.725192499999999,7.45099,41.10034,16.433496,6.8824365,10.780994
5823,3377,ENSG00000125968,ID1,3397,13.96420100421941,13.434976470588236,19.222728625000002,23.2771038,10.476598599999999,15.942098000000003,14.910976357142857,15.223495428571429,11.437930642857143,8.843103857142856,10.73392142857143,12.206729857142857,8.604519846153845,16.399213000000003,19.0699768,23.232608625,20.225162875,5.142867600000001,3.7732422,15.432077333333334,6.133627,4.477321,6.814935999999999,14.605943499999999,6.146418499999999,6.527792,6.632483
5824,22669,ENSG00000125970,RALY,22913,47.08956749789031,47.549526647058826,45.888352437500004,47.42990480000001,46.63144393333334,47.652300200000006,41.05845178571428,54.093353714285726,50.253698714285726,40.95601799999999,44.26873542857144,46.16174464285715,42.00070738461538,38.2105332,37.1022989,52.468079375,37.5919445,58.0337494,53.574645,60.49926366666667,61.408957,66.8084855,84.5601045,65.684477,67.470927,62.906531,40.042704
5825,57900,ENSG00000125971,DYNLRB1,83658,42.0825464050633,44.16272794117646,45.45133800000001,37.693399799999995,42.81306513333334,40.7942478,42.16952878571429,38.82637671428571,44.564847214285706,45.15561514285714,43.29200428571429,44.66477235714286,42.552985538461535,40.8648271,41.1565084,34.918366125,51.560708375000004,43.40746,49.5631862,40.477691666666665,28.688043,30.275278,31.351002,42.7042005,30.126853500000003,26.141126,24.546926
5827,8815,ENSG00000125977,EIF2S2,8894,12.836656118143459,13.238181235294117,12.288051,13.58732393333333,12.922609266666665,12.632654266666666,12.416492142857141,13.598287999999997,12.778312357142855,12.992999857142859,13.183583428571426,13.23537314285714,12.596709153846156,12.0613603,11.1339496,11.599440375,13.72076225,14.9444368,11.625220199999998,12.204288,14.306136,12.41796,13.6298445,11.032573,12.779706000000001,15.215702,12.123175
5828,31094,ENSG00000125991,ERGIC3,51614,37.261977738396624,37.08739976470588,36.901731687499996,40.56694733333333,36.85438359999999,40.015959466666665,36.820673285714285,39.03230678571428,40.353022357142855,40.07604207142857,37.876104,32.90105542857143,42.16615661538462,38.1955313,35.9498147,37.849666875000004,32.383700375000004,31.557686,28.7604644,34.20382933333334,28.9289895,29.7695195,38.314529,31.2646965,33.011686,32.22009,27.085315
5829,80152,ENSG00000125995,ROMO1,140823,44.767804966244725,49.211240117647066,43.084105875000006,49.316670733333325,48.18478986666666,43.963212999999996,39.67893842857143,47.730807428571424,46.84157535714286,39.894182214285706,43.759511142857136,45.55061814285715,40.993110461538464,34.0369147,33.554801399999995,45.296250875,53.6029515,56.784193,47.8077554,41.75513133333333,42.9243005,42.8044775,61.60499,56.6451125,47.732665499999996,52.701475,16.611645
5835,,ENSG00000126005,MT1P3,,22.148570687763712,22.637999294117645,25.616871125,20.202496133333337,21.401439733333333,22.071596800000002,23.443308428571424,18.28779535714286,24.31090778571428,24.21040792857143,21.895290857142857,21.884719,22.149646769230767,22.6541112,21.9367206,24.03027875,29.368297374999997,22.3947698,23.8904264,23.205166666666667,10.6027575,11.138546,10.974543,20.1230435,12.839172,10.5490595,8.370267
5837,8190,ENSG00000126012,KDM5C,8242,14.917512485232066,14.580543823529412,15.5974040625,14.432504733333333,14.851435866666664,15.940582999999998,14.295203,15.105891357142855,15.273208785714287,15.22229357142857,14.175423642857144,14.068993785714285,15.536408692307692,15.4031767,15.435252299999998,14.861551500000001,10.206714250000001,14.694207599999999,15.879969,19.64277733333333,15.7059175,14.845139,15.066962,19.1697415,13.836106000000001,14.705151,16.319719
5839,10912,ENSG00000126062,TMEM115,11070,14.854190042194094,14.813365588235296,15.9307250625,15.771046799999999,14.584868800000002,15.530649333333331,14.426057071428572,14.62901514285714,16.679637500000002,14.410259857142858,14.037422714285713,13.498788785714286,15.183474230769232,14.674946300000002,13.769096600000001,17.670264875,15.736214625,14.5811148,12.958476600000001,15.023294666666665,12.3724965,10.484284,13.0388035,17.381808,11.0143935,14.261435,8.937503
5840,5658,ENSG00000126067,PSMB2,5690,32.395583734177215,31.413440470588238,30.36538225,35.28961640000001,32.08601346666667,30.282742466666665,29.063072928571433,37.41040449999999,31.542930285714284,27.937949357142852,32.04685835714286,31.077169571428566,30.119101076923073,29.8489896,29.049994199999997,30.968789125,31.076078250000002,37.679259200000004,36.3402928,35.360277,45.1451335,45.1487325,52.164749,37.03715,49.005269,47.6704125,40.487191
5842,7346,ENSG00000126088,UROD,7389,13.44268816877637,13.485037764705883,12.6855293125,17.7319238,14.394085866666668,13.1021744,10.675033857142855,14.976904714285713,12.634809571428573,10.537244785714288,13.92360764285714,14.04040692857143,11.558586615384614,10.7582518,10.835231400000001,17.105048625000002,20.398284874999998,13.910823799999998,12.247889599999999,11.913624333333331,13.792957000000001,12.0977845,14.561281000000001,11.241337,10.2147475,16.927635,9.819069
5843,6451,ENSG00000126091,ST3GAL3,6487,10.542893042194091,10.672212588235293,11.136931937499998,9.790696200000001,10.50289433333333,10.310260133333335,9.802609285714286,9.21086607142857,10.52655964285714,10.795770357142857,10.485867285714287,10.018498142857142,9.914283461538464,10.289682500000001,10.140764599999999,11.044489625,16.551143375,11.308244400000001,12.4429146,12.571430999999999,8.1244665,8.867799,10.1647965,9.9863225,9.4788615,8.2067605,8.143654
